User_ID,user_name,review_text,longitude,latitude,timestamp,rating,photo_id
1,mhorsfield0,"Ein magischer Ort, der zum Verweilen einlädt. Die alten Kiefern strahlen eine besondere Ruhe aus.",-16.640.652,28.291.565,2023-08-11T15:38:32Z,3,1b9aa91e-ae61-4a1e-8691-077abe2c3c30
2,cenglefield1,Beeindruckend! Die majestätischen Bäume und die frische Luft sind einfach unvergleichlich.,-16.640.652,28.291.565,2023-07-21T18:15:42Z,1,22c9711a-48a6-47d7-bf2e-029d08014667
3,gfenge2,"Ein Naturwunder, das jeder sehen sollte. Die Wanderung hierher lohnt sich allein wegen der Aussicht.",-16.640.652,28.291.565,2023-11-19T19:06:21Z,4,9fcd28a8-31f6-4281-9be0-84a799e462af
4,japark3,Ich bin überwältigt von der Schönheit dieses Ortes. Die Kiefern sind wirklich atemberaubend.,-16.640.652,28.291.565,2023-03-24T02:37:14Z,2,b68f0e44-4d5f-42d4-8757-8692425cd60c
5,lmcinally4,Ein perfekter Ort für Naturliebhaber. Die Stille und die Größe der Pinos Canarios sind beeindruckend.,-16.640.652,28.291.565,2023-11-29T22:15:17Z,1,5006a31d-8321-4d52-b33c-d60cb37245b5
6,wgrigori5,"Die Stille hier ist musikalisch, unterbrochen nur vom Flüstern des Windes.",-16.640.672,28.291.585,2023-04-04T12:22:30Z,3,a2243c8f-b53e-4e20-98c9-3027df6b78e7
7,aivashchenko6,Ein Paradies für Wanderer. Jede Kurve offenbart eine neue Wunderwelt.,-16.640.632,28.291.575,2024-01-04T20:16:59Z,3,a1c49b52-1d93-44a5-b560-ab5b863c82fa
8,jkellaway7,Diese majestätischen Bäume sind Zeugen der Zeit. Einfach atemberaubend.,-16.640.612,28.291.555,2023-04-23T12:09:11Z,2,abcda954-19dc-4d67-a45c-71ea99c87b7a
9,qpendleton8,"Ein Ort, der Geschichten erzählt. Man spürt die Geschichte bei jedem Schritt.",-16.640.692,28.291.595,2024-01-18T23:40:40Z,5,824039b6-67e4-4a49-aae8-4cdcf9f25580
10,hglassopp9,"Die Luft hier oben ist so klar, sie glitzert im Sonnenlicht.",-16.640.632,28.291.545,2024-01-29T12:55:31Z,3,399aa440-965a-4654-8e2d-8e80997ae132
11,narmella,Ein grünes Meer aus Ruhe und Frieden – ein unvergleichliches Erlebnis.,-16.640.682,28.291.565,2023-06-23T04:37:15Z,2,b19b48aa-e801-45cb-b191-fe710b1d557c
12,vdelamaineb,"Hier zu verweilen, bedeutet, mit der Natur im Einklang zu sein.",-16.640.622,28.291.595,2023-07-24T20:02:47Z,2,2ce256b9-9239-4ae0-8289-3d643714c0e3
13,jknappittc,"Die Kiefern bieten nicht nur Schatten, sondern auch Trost und Schutz.",-16.640.642,28.291.535,2023-09-02T15:38:56Z,2,184523df-3aad-4b95-a1fd-ed59110751db
14,latkind,"Ein lebendiges Gemälde, das sich mit den Jahreszeiten wandelt.",-16.640.662,28.291.575,2024-02-15T03:01:42Z,5,b7a8989a-b5eb-4e14-b0d8-46f58bea247e
15,cmosene,Ein Ort voller Energie und Lebenskraft. Die Natur in ihrer vollen Pracht.,-16.640.652,28.291.605,2023-04-11T02:07:01Z,5,6dbd5982-534f-4f5b-a064-0ea2ffb85242
16,mmelleyf,"The serenity here is unmatched, a true escape into nature's embrace.",-16.640.662,28.291.575,2023-05-12T15:06:40Z,1,c6867cb0-80e0-4efc-b610-c8a2d73ac345
17,drickardsg,Walking among these ancient pines feels like stepping through time.,-16.640.672,28.291.585,2023-12-03T03:25:02Z,3,ef2bc19d-d610-424d-8ff6-9c69e72a7d04
18,chemerijkh,"The canopy above whispers stories of old, a place of wonder and awe.",-16.640.642,28.291.555,2023-12-16T16:33:32Z,5,dd33b218-c690-47cb-944b-1f002fa18a30
19,wcopsi,Each breath of fresh pine air rejuvenates the soul. Truly healing.,-16.640.632,28.291.565,2024-01-20T07:41:00Z,5,9c39db58-a64f-4859-a090-15a569e8c408
20,itadlowj,"A haven for birdwatchers, the melody of nature is ever-present.",-16.640.652,28.291.595,2024-01-21T02:00:20Z,4,cf738386-ae56-40a4-b50e-74fac6172554
21,rsansk,"The views from the trail are breathtaking, overlooking vast landscapes.",-16.640.682,28.291.545,2023-10-05T10:14:48Z,5,9fa9e699-c486-419b-b291-531032f4478b
22,vchristiel,"Perfect for a peaceful hike, where every turn offers a new vista.",-16.640.622,28.291.585,2023-11-06T05:53:38Z,5,481fa94d-6e76-4521-9391-51b69fd2191a
23,lcarnewm,Sunlight filtering through the pines creates a mosaic of light and shadow.,-16.640.612,28.291.575,2023-03-28T08:05:52Z,4,e37207ae-43fc-447f-ae7f-18314031f911
24,etooleyn,An enchanting forest that feels like a world away from the hustle.,-16.640.692,28.291.555,2023-05-04T09:53:35Z,3,0467e323-232d-41ad-897b-d680e96042c5
25,dmurdyo,"Nature's masterpiece, showcasing the beauty of the island's rugged terrain.",-16.640.642,28.291.535,2023-11-11T09:43:56Z,4,0d2d3b06-89ac-4613-b762-a1ca23a497a6
26,tarmfirldp,"The pine scent here is intoxicating, mixed with the freshness of the altitude.",-16.640.690,28.291.550,2023-03-04T10:12:25Z,1,781db196-f3a4-4352-8b78-2052cd255af2
27,fahlinq,"Early morning hikes offer the most serene experience, with mist among the pines.",-16.640.660,28.291.560,2023-12-07T04:10:42Z,2,ccf80aeb-0438-4448-a2ed-a46bd8d41604
28,mbernhardir,"The tranquility of this place is palpable, like stepping into a natural sanctuary.",-16.640.680,28.291.540,2023-03-13T15:44:28Z,5,a5d51a4e-7c0b-4b84-826b-268882560744
29,dnelseys,Marvelous spot for contemplation and connecting with the earth’s quiet beauty.,-16.640.650,28.291.570,2023-06-21T16:07:58Z,4,abbabd92-01c3-4ba0-b022-c0e3e4bec817
